date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2012-03-08,29,25,0.0,8.8,6,98,07:14 PM,06:48 AM,07:17 AM,07:20 PM,23,30,30,27,11,63,82,6.3,1006,29,10,130,8,Terengganu
2012-03-09,29,25,0.0,11.6,6,91,08:09 PM,07:38 AM,07:17 AM,07:20 PM,23,30,30,27,13,40,81,9.2,1006,29,10,107,9,Terengganu
2012-03-10,29,24,0.0,11.6,6,84,09:06 PM,08:29 AM,07:16 AM,07:20 PM,23,29,29,26,12,26,81,4.8,1007,29,9,74,8,Terengganu
2012-03-11,29,25,0.0,11.6,6,77,10:04 PM,09:23 AM,07:16 AM,07:20 PM,22,29,29,26,18,25,79,21.1,1009,29,8,57,12,Terengganu
2012-03-12,26,25,0.0,6.0,6,71,11:03 PM,10:18 AM,07:15 AM,07:20 PM,22,28,28,25,11,67,85,52.5,1011,26,6,56,7,Terengganu
2012-03-13,27,24,0.0,8.8,6,64,No moonrise,11:16 AM,07:15 AM,07:19 PM,22,27,27,25,11,62,80,10.3,1012,27,9,128,8,Terengganu
2012-03-14,29,24,0.0,10.2,6,57,12:03 AM,12:14 PM,07:14 AM,07:19 PM,22,29,29,26,12,59,79,6.1,1012,29,8,131,8,Terengganu
2012-03-15,29,25,0.0,11.6,6,50,01:03 AM,01:13 PM,07:14 AM,07:19 PM,22,29,29,26,13,39,79,6.6,1011,29,9,100,9,Terengganu
2012-03-16,30,25,0.0,11.6,6,44,02:00 AM,02:09 PM,07:14 AM,07:19 PM,22,29,29,27,11,19,76,1.3,1010,30,10,212,8,Terengganu
2012-03-17,29,24,0.0,11.6,6,37,02:53 AM,03:04 PM,07:13 AM,07:19 PM,22,29,29,26,11,33,79,2.0,1010,29,10,139,7,Terengganu
2012-03-18,29,24,0.0,11.6,7,30,03:44 AM,03:56 PM,07:13 AM,07:19 PM,22,29,29,26,10,24,80,0.0,1010,29,10,145,7,Terengganu
2012-03-19,30,23,0.0,11.6,7,23,04:30 AM,04:44 PM,07:12 AM,07:19 PM,22,29,29,26,8,12,79,0.0,1011,30,10,95,6,Terengganu
2012-03-20,30,24,0.0,11.6,7,16,05:15 AM,05:32 PM,07:12 AM,07:18 PM,22,29,29,27,9,12,75,0.1,1011,30,10,106,6,Terengganu
2012-03-21,30,24,0.0,11.6,7,10,05:58 AM,06:17 PM,07:11 AM,07:18 PM,21,29,29,27,11,13,72,0.0,1010,30,10,126,8,Terengganu
2012-03-22,29,24,0.0,11.6,7,3,06:39 AM,07:02 PM,07:11 AM,07:18 PM,21,29,29,27,9,18,73,0.9,1010,29,10,128,6,Terengganu
2012-03-23,29,24,0.0,11.6,6,4,07:20 AM,07:47 PM,07:10 AM,07:18 PM,22,29,29,27,9,12,76,3.8,1011,29,10,109,6,Terengganu
2012-03-24,30,25,0.0,11.6,7,11,08:01 AM,08:31 PM,07:10 AM,07:18 PM,22,30,30,27,10,11,75,0.4,1011,30,10,94,7,Terengganu
2012-03-25,30,25,0.0,11.6,7,17,08:44 AM,09:18 PM,07:10 AM,07:18 PM,23,30,30,27,13,15,77,1.2,1011,30,10,52,9,Terengganu
2012-03-26,30,25,0.0,11.6,6,24,09:28 AM,10:05 PM,07:09 AM,07:18 PM,23,30,30,27,16,25,76,18.3,1011,30,8,64,11,Terengganu
2012-03-27,30,25,0.0,11.6,6,31,10:13 AM,10:53 PM,07:09 AM,07:17 PM,22,30,30,27,13,22,76,18.9,1012,30,8,62,9,Terengganu
2012-03-28,29,25,0.0,11.6,6,38,11:01 AM,11:42 PM,07:08 AM,07:17 PM,22,30,30,27,10,27,77,1.8,1012,29,9,71,7,Terengganu
2012-03-29,31,25,0.0,11.6,7,44,11:50 AM,No moonset,07:08 AM,07:17 PM,23,30,30,27,9,9,76,0.0,1011,31,10,120,6,Terengganu
